status,price,brand,model,generation,title,type,link,condition,seller notes
scrap,17.09,ibm,x3550,,"ibm (39y7201) x3550, x3650 m2/m3 675w (39y7227)",,https://www.ebay.co.uk/itm/295053580931?hash=item44b2905a83%3ag%3adu4aaoswzf9isetu&itmprp=enc%3aaqajaaaawhbuvhph1gf2xaqzalbug5fjao8bg0ah27ifbzlx0sbpyrmedmefjpgpr9lj06cbr8hswivjghehik5rf1bpw3ia3cmyyucxxrr%2bjvc9q4v53evdbj%2baahndy7mknwvq1a5dknvoi5elufhlpyjrez61e9iyryx3xnur992dhy1fx%2bdwgehpbz5hi4oawulptibjmglh4udkrknofwg434echbgfcixioi822vo6hf5zz0ldvyctqycwb08bkskxyq%3d%3d%7ctkp%3abk9sr_qogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,"used: an item that has been previously used. the item may have some signs of cosmetic wear, but is ... ",
scrap,36.3,ibm,x3650,,ibm 2tb 7.2k sas 6g lff x3650 - 90y8572 90y8573 sas hard drive with drive bay,,https://www.ebay.co.uk/itm/254348693610?hash=item3b385d106a%3ag%3ax%7ewaaosw3k5dbckb&itmprp=enc%3aaqajaaaa4po12u8fu1vdui4iivehiom%2bdhuh0spp9gtgn0r%2fc3c%2fug94tpag6kjsqzdwp0n6hjai6gknsksqrqnshpy0ugxmlizfk68sns4spm3jdaluq%2bqhrhstcpyn1cyruc3kmb8bw6%2b%2fcynfh5lgcpek5pwhekrxafpv2gsuc2s%2bngk2%2bkrixfnz1jxc%2flyx2lf57uabafas7tumysvzz%2bm5algf34pj2fvfflcxg3qrknpfkuifvkbry31jb%2byexntp6o2cp0kbxg6h%2fvtfhoi9z%2fg8r%2bgaycilsduozlygu3ow%7ctkp%3abk9sr_qogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,"used: an item that has been previously used. the item may have some signs of cosmetic wear, but is ... ",
scrap,25.11,ibm,x8,,riser board pci-e gen-iii x8 server ibm system x3650 m4 - 94y6704 00d3009,,https://www.ebay.co.uk/itm/113963469085?epid=5067291587&hash=item1a88c0891d%3ag%3amecaaosw4zhhe-5x&itmprp=enc%3aaqajaaaawnxvlcfa6c%2ffenjykb%2bb2jdquwg4ulnyfewz1zv7g9ifba3%2fubukgrxhw9f4lfj4qy2cdbq9e0brkh1%2b9veyjjb7d%2bdew5lquuy9t4m7m9xnec1hrweevl7btac33d39q05ceuqxs6ertn3g0me6v4hycqgbo%2bd3ouf0hff9%2bksozrj2p5qioojvzevpr%2f8yrneaigd5dxgadskisozfui%2bl6cvdontzgacotlzx5rmdliqgql87dvlksaqn6vtdgq%3d%3d%7ctkp%3abk9sr_qogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,"“gebraucht, funktionsfähig”"
scrap,99.99,ibm,ts2900,,ibm system storage ts2900 tape drive autoloader lto-6 02c5e36 w/ 243-537211-001,internal tape drive,https://www.ebay.co.uk/itm/135112622633?hash=item1f75570229%3ag%3aoswaaoswwy5mzu2p&itmprp=enc%3aaqajaaaa4c6uwew9aef3z%2b7ddneg8jr5i7fwujopw3m4z4lzovg0iyj5y9d1ttnan7t4aqcxad%2b2xv8keh%2bpmmxhwbd8nqgpyaxcxh3lfb8kpxrigzflbb8fprajpf0otexchr2qvr1bu33wl8p2kgcrx807wydkxc17srz1gfmk9x4k9qsrlvuvud5g1tcc5ehkm8hnbkrgdvvzqowccbwxbn4jvunfl08bg0h5x%2fhib83vmeakip8dkg3e3nj2gquaeupp6ucsiqskz8yqamcc4lmwadpk0n65amwnwoiyeryxgamx%7ctkp%3abk9sr_yogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,"“condition:- some marks, scratches, sticker marks.testing:- working order.what's included:- system ... "
sell,200.0,lenovo,x3650,,lenovo x3650 m5 xeon @ 2.2ghz e5-2690 v4 14 core  64gb ddr4 ram 2x ssd 14 lff,server,https://www.ebay.co.uk/itm/326065926953?hash=item4beb0b3329%3ag%3atwcaaoswen9mgeik&itmprp=enc%3aaqajaaaawiaxox5ecuug8am5ufnoigfv0wyg97iravrtjvcw%2bicrrtnc3rlqtdka0ovjwvolp3bratng4c8zemfqfbmsa%2fxkhujsbkamppfndfnejalmnv%2btaallyaluasbytl%2f%2bbigtmgxjfkmdufgx65c%2fjzfoiuvznq4aejsa79rpeh3nnzj%2bdpauovy%2b%2bixike%2f7hahphvey74oc8cwmfgv0%2byzwn6iec4ogkvv%2bpxkdl11ece8g0ojbm%2bctvmt6nq5ugw%3d%3d%7ctkp%3abk9sr_yogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,"used: an item that has been previously used. the item may have some signs of cosmetic wear, but is ... ",
scrap,17.09,ibm,x3650,,"ibm 300gb 2.5"" sas hdd for ibm system x3650 m4, m5 etc. // 90y8878",,https://www.ebay.co.uk/itm/275992474008?epid=26060506304&hash=item40426ef198%3ag%3amniaaosw7mjk1eul&itmprp=enc%3aaqajaaaa8kghl0d9u5ja6nr4rsno2wwcy5zcnm2ookgyyjp7tdtztkpecj01xqzr66hnnd4rkg0wpcqsrftp4i2rfkdadit2zhhtqslqzta9dd6jrpzsrbhw7wtrsenxyosyj0hdmhx0u7cdiq4vqdfmigrbedet%2bl%2fg5%2fyujzy5buwo8ythedeasnb52ratiaz%2fgk3mnlx7v0lp5hth7hy2lbhqurokmxgqnevi85ew5v5%2fzk%2fnlfb%2f8f5ejpijimvppcvwweljmwe4bnldfzojcisz0s%2bdhzlztgwjcoowp7sdrnkvbvuwh4glzgvvmtxddubcxw%3d%3d%7ctkp%3abk9sr_yogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,excellent - refurbished: the item shows no signs of use. it is fully functional and has been ... ,
scrap,4.18,ibm,x3550,,server virtual media key for ibm x3550 m2 m3 x3650 m2 m3 46c7527 46c7528 49y5374,key,https://www.ebay.co.uk/itm/253654101427?hash=item3b0ef66db3%3ag%3af4caaosw-a1bdfkh&itmprp=enc%3aaqajaaaa4jw5atc4%2b2msgt8lephgc4sqczeoxpkie%2figqoidkt6hsr5mefot8rwf2k9ohch94jgsavolktkue6bks75ny66es4nyllupkbewqewsnb%2fdxs6t3fncglvwn%2bxfd5etirwyxzbgbwhvuonxzft1ks8me%2ftxoj6h%2bhtnk5dcsqztsassrmunikjvhhx9p2g2nmdbolv9bqimv934zxpfv9%2bdgc1i%2fez70gks5gmz9zflceuhm7lonruza%2bohc6irm7nlcrhebnc2nx%2bpyng5quellwi4fzbzj9q6tpibbojf%7ctkp%3abk9sr_yogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,"opened – never used: an item in excellent, new condition with no wear. the item may be missing the ... ",
scrap,136.0,ibm,x3650,,00am209 / ibm system board lga2011 for system x3650 m4 type 7915 / 00kf656,,https://www.ebay.co.uk/itm/186455546820?hash=item2b699ddbc4%3ag%3ad04aaoswp41mtvvd&itmprp=enc%3aaqajaaaa4ki1kx2pfc4nnwu1lbvl3fhpwrqwnkxnuzc0txsl8%2br4xouq%2fankkjgs3ivmnalipgqdpqxvk6qunxwgptpeka3xzkho94me%2bliotvvnyl8vadldxatnrmcuxgxfmyckgxgbilyvexpqfexdr34d8iau7%2f0eemmfbvazqpw%2f78kxp8qnipzo%2fjuya--fu%2b%2fwovj8vkli4%2fk2oysfrpehn2kaen%2bnpwxbi5chtz3bfjfim2%2f05st484vyr1p622btmruqorfcrt7j0nwagkym9kx0l7vtybtv5iru6ygh0if8%7ctkp%3abk9sr_6ogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,"“renewed, 100% working”"
scrap,648.0,lenovo,x3650,,lenovo system x3650 m5 2 x 18 core 2.30ghz e5-2697 v4 128gb 2 x 600gb sas m5210,server,https://www.ebay.co.uk/itm/126054464251?hash=item1d596e7afb%3ag%3af6kaaoswq1pk3j-v&itmprp=enc%3aaqajaaaa4onxsxg%2fnpw9een5fc3q5ep69wfc%2bbv1fa5tg6btcajmwlpo8ejedukioa%2bhae0gh%2byzqvar6qz6ors1x%2ffe9%2fkdbk5miowbxo46o4mvegy4yzgkbnohyqdhlioapsehjnfjeizee5iforeinmhdtnag%2fuk2ktixhq7%2fi2bo1zzhsao%2fyduvggy9uazz4mlsssiaes%2f23e8g6unsv8jzrmvpgfonshbkmjmxokny5rl9hhvow1xzeipzgr%2fkiytj1aciioowsz%2fd8nis1uenuvs32otade1%2fsplajvhxtiol%7ctkp%3abk9sr_6ogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,very good - refurbished,“all prices shown are inclusive of uk vat at 20%. this is a pre-built system that has been ... 
scrap,140.17,ibm,x3650,,12x 16gb 192gb ecc reg ddr3 1600mhz pc3-12800r memory f. ibm lenovo x3650 m4 (7915),,https://www.ebay.co.uk/itm/372644082806?hash=item56c3517476%3ag%3ahjaaaosw-cpyao4c&itmprp=enc%3aaqajaaaa8ez4u9lvjcbxmdrfe%2fj7pf8jl3hpksa0i1rgqrkmlh349pzl91tvddk6yjzzpnjcxie5vpcu6kfxvjp1v9vgl8huhk193nwm0wzhmqc5k1c1enh0yksqgznpk2tym9jlglgickerg%2fcaixlohs8nibfigs%2fiwaatkbylqbobxwvvhzwqspot65a7ndwa0qpqeg2sakcnnag4ma3zkuujppwrgepxljkmxg0%2bdcgq06r4jqrqcnvcnzhjowplxa1vaf2%2bn3hcczp%2bdnmygty4uhhows1ohwgydndmyll2l5uvuunupkt2xlfg%2fajbxw1hnq%3d%3d%7ctkp%3abk9sr_6ogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,excellent - refurbished: the item shows no signs of use. it is fully functional and has been ... ,
